angle;angle;angle;angle;angle;angle;angle;angle;angle;angle;NULL;speed;speed;speed;speed;speed;speed;speed;speed;speed;speed
0,07;0,31;-0,4;-0,43;0,2;-0,05;-0,16;0,14;0,28;0,31;NULL;1,68;1,25;-1,48;0,53;1,57;1,65;-1,25;1,47;1,27;-1,09
-0,21;0,15;0,29;0,34;0,19;-0,05;0,35;0,09;0,06;0,00999999;NULL;-1,73;-1,5;-0,25;-0,9;0,57;-0,52;0,36;0,65;1,33;0,29
0,37;0,2;0,11;0,11;-0,09;-0,09;0,08;-0,26;0,14;-0,29;NULL;-0,7;0,77;-1,97;0,24;-0,02;-1,87;1,18;-1,65;-0,21;-1,2
0,39;-0,04;0,31;-0,22;0,04;-0,03;0,41;-0,1;-0,08;0,09;NULL;0,8;0,38;-0,95;0,27;0,91;-0,33;0,97;1,96;-1,32;1,13
-0,1;-0,13;0,17;-0,32;-0,03;0,24;-0,32;0,26;0,43;-0,06;NULL;-1,1;1,76;1,38;-1,35;-0,81;-1,46;0,83;0,56;1,34;0,17
0,02;0,15;-0,26;-0,16;0,4;-0,23;-0,08;0,24;-0,16;-0,19;NULL;-1,05;-1,88;-1,82;-1,26;-0,21;0,87;0,18;1,4;-2;1,25
0,1;0,25;0,33;-0,26;-0,41;-0,09;0,42;0,00999999;0,04;-0,21;NULL;0,24;-0,5;1,69;-1,02;-0,05;0,13;0,33;-1,41;0,94;0,31
-0,36;0,34;-0,17;-0,32;0,19;-0,02;0,29;-0,17;0,17;-0,42;NULL;0,02;0,96;0,0699999;1,29;1,03;-0,8;0,33;-1,74;1,71;-0,91
0,02;-0,13;-0,05;-0,13;0,21;0,38;0,17;-0,44;0,17;0,18;NULL;-0,7;0,53;-0,8;0,83;1,33;-0,45;-0,71;-0,59;1,2;1,99
0,43;0,41;0,3;0,17;-0,33;0,28;-0,27;-0,11;-0,12;0,43;NULL;1,76;-1,67;-1,77;0,65;-0,95;0,47;0,24;-1,89;0,92;0,78
0,39;-0,15;-0,14;-0,32;0,23;-0,42;-0,09;-0,31;0,2;0,31;NULL;1,82;1,99;-0,25;1,75;0,94;0,0599999;-1,34;0,63;-0,19;0,5
-0,36;-0,32;0,4;0,06;-0,42;0,19;-0,44;0,12;0,38;0,13;NULL;0,5;-0,46;0;1,58;0,14;-1,49;-1,02;-1,91;-1,87;-1,72
-0,31;-0,43;0,17;0,27;0,32;-0,15;-2,38419E-09;-0,4;0,35;0,29;NULL;-1,59;0,71;-0,82;0,28;0,97;-0,33;0,38;0,52;-0,08;-0,02
-0,23;0,02;0,26;-0,4;0,2;0,35;-0,41;-0,42;0,39;0,00999999;NULL;-1,3;-1,75;-0,24;1,7;1,7;-0,82;-1,2;0,48;-1,4;-0,41
-0,06;-0,24;0,11;0,14;-0,18;-0,06;0,05;0,00999999;-0,38;-0,2;NULL;-0,61;0,31;-1,7;-0,49;1,04;-1,65;-0,28;0,42;1,53;-1,33
-0,19;0,19;0,25;-0,3;0,26;0,34;-0,3;0,11;-0,12;0,02;NULL;-0,33;-0,93;1,72;1,23;1,47;1,36;-0,51;1,22;1,06;1,69
-0,24;-0,26;-0,23;-0,25;-0,05;-0,4;0,09;-0,36;0,06;0,39;NULL;-1,83;-1,63;1,18;1,89;-0,92;0,42;-1,16;1,09;1,8;0,78
-0,38;-0,41;-0,00999999;-0,29;-0,43;0,1;0,19;-0,00999999;-0,02;0,36;NULL;-1,73;0,55;-0,28;0,88;1,06;0,12;0,51;-1,96;-0,65;0,02
0,23;-0,19;-0,24;0,14;-0,33;0,15;0,23;-0,33;0,03;-0,41;NULL;-1,42;1,13;1,52;0,19;-1,51;0,67;-0,98;0,28;0,98;-1,91
-0,28;-0,16;0,29;-0,08;0,05;0,16;0,36;-0,3;-0,3;0,34;NULL;1,24;-0,33;-0,99;-0,64;0,69;-0,31;-0,05;0,54;-0,36;0,13
-0,44;0,25;-0,15;-0,06;-0,28;0,23;0,02;-0,29;-0,25;-0,02;NULL;-1,1;-0,64;-1,35;0,15;-1,77;0,61;-1,81;1,7;-0,33;0,33
-0,12;0,12;-0,05;0,31;-0,42;-0,18;-0,19;-0,42;-0,25;0,08;NULL;1,6;-1,1;1,18;1,15;-0,97;-0,13;-0,72;-0,97;-0,97;-0,4
0,27;-0,05;-0,17;0,2;-0,39;0,35;0,03;-0,41;0,12;-0,43;NULL;0,83;-0,75;-0,67;0,69;1,95;-0,09;1,38;-0,5;-1,65;-0,65
-0,35;0,05;-0,3;-0,43;-0,3;0,26;-0,16;-0,36;0,03;0,18;NULL;0,0999999;-0,19;-1,09;-1,53;0,54;-1,13;0,21;-1,61;-1,34;-1,68
0,42;0,3;-0,44;-0,22;-0,17;-0,14;0,23;0,2;-0,38;-0,1;NULL;0,3;0,43;0,24;-1,17;-1,41;-1,1;1,8;-0,13;-1,5;0,48
0,1;-0,25;-0,29;0,41;-0,27;0,29;-0,29;-0,17;-0,11;0,11;NULL;0,86;-1,95;-1,79;1,48;-0,53;0,43;-1,01;1,15;-1,39;0,02
-0,28;-0,39;-0,44;0,13;-0,17;0,1;-0,41;0,32;0,35;0,1;NULL;-1,22;-0,77;1,02;0,45;-1,86;0,17;0,56;1,36;-1,24;1,25
-0,18;-0,11;-0,43;0,15;-0,16;0,2;-0,38;0,15;-0,04;0,31;NULL;0,24;-1,7;0,32;1,68;1,5;1,39;1,88;1,4;0,87;-1,57
0,07;0,32;0,09;-0,37;-0,15;0,32;0,3;-0,21;0,14;-0,35;NULL;-0,98;1,32;-1,24;1,85;0,18;1,76;1,04;-1,91;1,65;0,99
-0,05;-0,27;-0,14;0,38;0,31;-0,37;0,35;0,24;0,23;-0,38;NULL;0,54;1,75;1,23;1,8;-1,28;-1,47;1,71;-0,64;0,49;0,0899999
0,22;-0,38;-0,27;-0,26;-0,34;0,25;-0,09;-0,43;0,04;-0,27;NULL;-0,82;-0,25;0,52;-0,92;1,47;-1,02;-1,49;0,04;0,94;1,47
-0,28;-0,41;-0,14;0,42;-0,14;0,21;0,08;0,32;-0,05;0,23;NULL;-1,51;1,63;-0,12;-1,94;0,4;1,74;1,93;0,24;-0,44;0,39
0,15;-0,28;0,03;-0,13;-0,08;-0,35;-0,28;0,13;0,06;0,23;NULL;1,3;0,23;-0,51;-0,28;-1,81;1,14;-1,99;1,42;1,94;-1,88
-0,3;0,26;-0,00999999;0,35;-0,24;-0,36;0,16;0,37;0,00999999;-0,06;NULL;0,32;0,02;-1,74;0,93;0,94;1,31;1,05;0,33;-1,87;0,38
-0,34;0,28;0,07;0,05;-0,11;-0,26;0,23;0,11;-0,19;0,1;NULL;1,86;-1,85;1,05;-0,6;-1;-0,69;0,02;0,6;-0,86;-1,47
0,11;0,07;-0,4;-0,44;-0,41;0,07;-0,03;-0,28;0,21;0,21;NULL;-1,95;-1,78;-1,59;0,15;-1,01;1,77;1,65;-1,49;-1,44;1,58
-0,32;0,23;-0,15;-0,00999999;0,08;-0,03;-0,43;0,16;-2,38419E-09;0,1;NULL;-0,05;-1,65;1,81;1,31;1,92;-0,65;-1,21;-1,26;1,13;0,59
0,22;0,04;-0,17;-0,19;0,21;-0,09;0,39;-0,37;-0,09;0,15;NULL;1,82;0,15;-1,43;-0,1;-0,89;-1,87;-0,25;0,6;1,3;0,49
-0,15;-0,03;-0,26;-0,27;-0,16;-0,27;0,22;0,00999999;0,26;-0,42;NULL;-1,63;1,09;0,37;-0,75;0,02;-1,48;-0,65;-0,41;-0,23;0,33
0,17;-0,05;0,02;0,25;-0,29;0,34;0,24;0,09;0,06;-0,32;NULL;1,49;-0,96;0,39;-0,89;1,29;0,61;-1,35;-1,94;-0,82;0,00999999
0,39;-2,38419E-09;-0,09;0,2;-0,02;-0,09;-0,17;0,31;-0,39;0,18;NULL;-0,68;-0,86;-0,51;0,65;-1,9;-1,9;-0,93;-0,58;0,68;-0,78
-0,29;0,4;-0,03;-0,07;0,04;0,33;0,39;0,32;-0,4;0,07;NULL;-1,19;0,31;-0,69;0,9;1,87;-1,96;1,98;0,29;0,0899999;0,05
0,29;-0,24;-0,4;0,21;0,03;-0,2;0,16;-0,06;0,24;-0,43;NULL;0,87;-0,13;-0,87;1,93;-0,59;-1,69;0,19;-1,29;-1,65;-0,0700001
-0,22;0,3;-0,02;-0,00999999;-0,29;0,00999999;-0,02;0,1;0,2;-0,2;NULL;0,35;-1,44;1,36;-0,51;1,54;-0,69;1,74;0,58;-0,5;1,68
-0,23;-0,23;0,34;-0,42;0,08;0,3;-0,34;-0,15;0,29;-0,2;NULL;0,51;-1,32;-0,74;-1,23;0,83;-1,25;1,75;-1,72;0,27;-0,78
-0,02;-0,37;0,32;-0,2;-0,38;-0,35;-0,29;-0,23;0,24;-0,33;NULL;1,53;-0,21;1,11;-0,79;-0,05;-1,74;-1,39;-1,65;-0,85;-0,0700001
0,38;0,03;0,41;-0,15;-0,04;0,4;-0,38;-0,21;0,12;-0,34;NULL;1,52;0;-0,9;-1,28;0,87;1;1,26;-1,63;0,51;-0,65
-0,2;0,39;-0,23;-0,3;0,04;0,42;-0,06;-0,43;-0,21;0,07;NULL;-1,21;-0,87;1,8;-0,37;1,85;-1,89;-1,71;-0,71;0,00999999;-1,8
0,19;0,33;0,15;0,27;0,42;-0,08;-0,08;0,34;0,03;0,3;NULL;-1,57;-0,04;-0,48;1,37;0,5;0,27;0,26;0,2;1,84;1,48
-0,28;-0,31;-0,36;0,26;0,27;-0,22;-0,38;-0,39;-0,04;0,35;NULL;-0,71;1,07;-1,92;0,52;1,36;-1,44;-0,72;-1,12;1,36;-1,05
0,02;0,11;-0,41;0,31;0,08;-0,12;0,09;-0,37;0,04;-0,12;NULL;0,03;-1,77;-0,82;1,55;-0,72;-1,47;1,62;1,06;-1,11;-0,7
-0,05;-0,14;0,32;-0,16;-0,29;-0,38;0,27;0,3;0,41;0,28;NULL;-0,46;1,48;0,13;0,57;-1,95;1,12;-0,49;1,14;0,25;-0,26
0,34;0,21;0,27;-2,38419E-09;0,33;0,19;0,17;-0,00999999;0,38;-0,28;NULL;-1,63;-1,6;1,57;-1,22;0,49;0,52;0,24;-1,6;-1,17;0,48
0,1;-0,4;-0,00999999;0,18;-0,11;-0,2;0,15;-0,24;0,17;0,17;NULL;-0,88;-1,34;-1,31;0,92;-0,61;-0,83;-0,18;-0,28;1,78;-1,52
-0,11;-0,03;-0,42;0,34;-0,12;0,15;0,42;-0,19;-0,04;0,3;NULL;1,68;0,0799999;0,00999999;-0,68;0,9;-1,97;0,96;-1,78;-1,54;-0,91
-0,35;0,12;-0,08;-0,11;-0,43;-0,43;-0,34;0,04;-0,14;0,18;NULL;1,17;0,73;0,36;-1,27;-1,2;1,21;-1,31;-0,8;1,34;-0,64
0,1;0,00999999;-0,13;0,42;0,19;-0,38;0,15;0,06;-0,12;-0,44;NULL;0,97;1;0,94;-1,07;-1,26;-0,43;1,67;1,76;-1,86;-0,65
0,13;0,28;-0,35;0,24;-0,03;-0,16;-0,32;-0,24;0,36;-0,34;NULL;0,72;0,47;-1,83;-1,9;0,94;-1,87;0,72;1,45;-0,0599999;0,37
0,28;-0,26;-0,44;-0,07;-0,11;-0,02;-0,14;-0,17;-0,06;-0,25;NULL;1,2;-0,12;-1,44;-0,21;1,09;1,5;0,25;1,32;1,15;-1,36
0,14;-0,06;-0,35;-0,1;-0,25;-0,39;-0,25;-0,21;-0,2;-0,43;NULL;-1,9;-0,95;-0,39;-0,2;0,75;1,68;-1,76;1,54;0,41;-0,13
