steering_angle,delta_measured
-0.1,-0.08016864894707046
-0.125,-0.096193427558869
-0.15,-0.11467787727961064
-0.2,-0.15623418487945345
-0.25,-0.19283978271265076
-0.3,-0.23109066719589708
-0.35,-0.26677753517717595
-0.4,-0.30725881533114213
-0.45,-0.348771003583907
-0.55,-0.43108122317599507
0.1,0.07402181226250257
0.125,0.09141120186028086
0.15,0.11408577916815948
0.2,0.15160548743827285
0.25,0.19228487180759413
0.3,0.2299044281319047
0.35,0.2705133869932234
0.4,0.30725881533114213
0.45,0.35144479400355166
0.5,0.4350839511620461
